"CAPL (Siege)","10 Bd De La Republique 49380 THOUARCE","02 41 68 81 81","47.26838869999999","-0.5018036000000166","elevage,collecte,cultures"
"Dépôt CAPL","26 Route D'Angers 49700 AMBILLOU CHATEAU","02 41 59 32 74","47.2641077","-0.3481348000000253","collecte,cultures"
"Dépôt Capl","Z-I De Beauregard 49150 BAUGE","02 41 89 71 65","47.53418180000001","-0.08716909999998279","collecte"
"Silo CAPL","Chemin Du Pont Des Fees 49150 BAUGE","02 41 89 81 74","47.53368","-0.093622","cultures"
"Dépôt CAPL","La Promenade, 710 Route De Seiches 49140 BAUNE","02 41 74 10 39","47.505521","-0.323613","collecte,cultures"
"Silo CAPL","49150 BOCE","","47.497065","-0.100879","cultures"
"Dépôt CAPL","Z.I. De La Prairie, 2 Rue D'Anjou 37140 BOURGUEIL","02 47 97 20 02","47.275867","0.164103","collecte"
"Silo CAPL","49650 BRAIN SUR ALLONNES","","47.288133","0.045726","cultures"
"CAPL Point Vert","68 Rue Louis Moron 49320 BRISSAC QUINCE","02 41 54 23 06","47.346491","-0.440512","collecte,site"
"Silo CAPL","68 Rue Louis Moron 49320 BRISSAC QUINCE","02 41 54 22 32","47.346491","-0.440512","cultures"
"Dépôt CAPL","Z.I. De L'Eperonniere, Rte St Laurent D L Plaine 49290 CHALONNES SUR LOIRE","02 41 78 02 16","47.345663","-0.781563","collecte,cultures"
"Silo CAPL","49150 CHEVIRE","","47.586166","-0.17005","cultures"
"Silo CAPL","49490 CHIGNE","","47.585654","0.089604","cultures"
"CAPL Point Vert","154 Route De Saumur 37500 CHINON","02 47 98 07 70","47.150418","0.215176","collecte,site"
"CAPL Point Vert Le Jardin","34, Rue De Jominiere 49300 CHOLET","02 41 75 26 46","47.073241","-0.867608","collecte,site"
"Silo CAPL","49260 COURCHAMPS","","47.200502","-0.163609","cultures"
"Silo CAPL","49700 Denezé sous Doué","","47.23889","-0.248569","cultures"
"CAPL Point Vert","Rue Du Docteur Lionet 49700 DOUE LA FONTAINE","02 41 59 16 81","47.18847","-0.287307","collecte,cultures,site"
"Hortiloire Distribution","Bd Docteur Lionet 49700 DOUE LA FONTAINE","","47.18847","-0.287307","collecte"
"Silo CAPL","La Plaine De Milly, Milly 49350 GENNES","02 41 51 85 53","47.33836","-0.236189","cultures"
"Silo CAPL","49320 GREZILLE","","47.327082","-0.349754","cultures"
"Silo CAPL","49140 LANDEVERT","","47.368147","-0.324228","cultures"
"CAPL Point Vert Le Jardin","Zi Des Tourelles 72800 LE LUDE","02 43 48 02 10","47.636652","0.163279","collecte,cultures,site"
"Hortiloire Distribution","9 Rue Des Magniolias 49130 LES PONTS DE CE","02 41 48 62 19","47.431754","-0.545431","collecte"
"CAPL Point Vert","Zone Industrielle Route De Longue 49350 LES ROSIERS SUR LOIRE","02 41 51 84 93","47.362693","-0.218223","collecte,site"
"Silo CAPL","49350 LES ROSIERS SUR LOIRE","","47.371474","-0.196777","cultures"
"Dépôt CAPL","Zone Industrielle 49160 LONGUE JUMELLES","02 41 53 08 90","47.368589","-0.090732","collecte"
"Silo CAPL","Zone Industrielle 49160 LONGUE JUMELLES","","47.368589","-0.090732","cultures"
"Dépôt CAPL","Rue Rabelais 49540 MARTIGNE BRIAND","02 41 59 43 45","47.229473","-0.437142","collecte,cultures"
"Dépôt CAPL","Rue Du Lavoir 86200 MAULAY","05 49 98 12 39","46.97765","0.21542","collecte,cultures"
"Silo CAPL","49700 MEAT","","47.185863","-0.374634","cultures"
"Dépôt CAPL","Rd 766, Zone Artisanale 49490 MEIGNE LE VICOMTE","02 41 89 64 44","47.526705","0.183839","collecte"
"CAPL Point Vert","Zi Route De Loudun 49260 MONTREUIL BELLAY","02 41 83 19 90","47.120488","-0.135864","collecte,site"
"Silo CAPL","Zi Route De Loudun 49260 MONTREUIL BELLAY","02 41 52 32 52","47.121525","-0.13504","cultures"
"Dépôt CAPL","Rue De La Liberte 86120 MORTON","05 49 22 92 44","47.105751","-0.024242","collecte,cultures"
"Dépôt CAPL","Z.A Le Landreau 49610 MOZE SUR LOUET","02 41 45 71 44","47.36739","-0.56398","collecte,cultures"
"Dépôt CAPL","5 Rue De La Poste 49560 NUEIL SUR LAYON","02 41 59 55 05","47.118829","-0.366918","collecte,cultures"
"Silo CAPL","49320 SAULGE L'HOPITAL","","47.303448","-0.385911","cultures"
"CAPL Point Vert Le Jardin","Z-I Bd Jean Moulin 49400 SAUMUR","02 41 50 26 37","47.234311","-0.071344","collecte,site"
"CAPL Vini","Zi Du Clos Bonnet, Bd Jean Moulin 49400 SAUMUR","02 41 38 93 80","47.23394","-0.072039","collecte"
"Silo CAPL","Capl - Z.I. Bd Jean Moulin 49400 SAUMUR","02 41 38 93 80","47.23394","-0.072039","cultures"
"Dépôt CAPL","Rue St Vincent 49750 ST LAMBERT DU LATTAY","02 41 78 30 31","47.305375","-0.072039","collecte"
"Dépôt CAPL","Moulin De L'Image 37370 ST PATERNE RACAN","02 47 29 20 34","47.605505","0.473241","collecte"
"Dépôt CAPL","Le Bourg D'Yon 49250 ST REMY LA VARENNE","02 41 57 04 65","47.384855","-0.336846","collecte,cultures"
"CAPL Point Vert","6 Bd De La Republique 49380 THOUARCE","02 41 54 07 51","47.269082","-0.502831","collecte,site"
"Dépôt CAPL","Moriers 72500 VAAS","02 43 46 87 00","47.67653","0.352717","collecte"
"Silo CAPL","Moriers 72500 VAAS","02 43 46 45 94","47.67653","0.352717","cultures"
"Dépôt CAPL","Z.A. Du Pain Perdu 49670 VALANJOU","02 41 45 43 59","47.220997","-0.59685","collecte,cultures"
"Hortiloire Distribution","Rue Des Tonneliers 44330 VALLET","02 28 21 61 31","47.178532","-1.262124","collecte"
"Dépôt CAPL","Rue De La Gare 49310 VIHIERS","02 41 75 80 06","47.141519","-0.538013","collecte,cultures"