"geometry__coordinates__001","geometry__coordinates__002","properties__adresseBtq","properties__adresseCompl","properties__adresseCp","properties__adresseLieuDit","properties__adresseNum","properties__adresseVille","properties__adresseVoie","properties__comentAprem","properties__comentMatin","properties__date","properties__description","properties__emailSite","properties__horaireApremDeb","properties__horaireApremFin","properties__horaireMatinDeb","properties__horaireMatinFin","properties__imageSiteExt","properties__imageSiteId","properties__imageSiteUrl","properties__imageUrl","properties__nameSite","properties__numFax","properties__numTel","properties__raisonSociale","properties__respSite","properties__siteId","properties__textAprem","properties__textMatin","properties__typeHoraireAprem","properties__typeHoraireMatin","properties__typeSite","properties__typeSiteId","type"
"2.5941772","48.14557","","Le Clos à Patron","77570","Route de Gironville","","MONDREVILLE","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","51","https://extranet.caproga.fr/media/image/NUM_51/Mondreville.jpg","/css/theme/images/carto/site_ouvert.png","Mondreville","","0164293366","C.A.PRO.GA. La Meunière","","14","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.8609087","48.34371","","","77250","La Grande Haie","","MONTARLOT","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","67","https://extranet.caproga.fr/media/image/NUM_67/Montarlot.jpg","/css/theme/images/carto/site_ouvert.png","Montarlot","","0672003223","C.A.PRO.GA. La Meunière","","23","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.811222","47.90229","","","45700","Rue des Céréaliers","","Montcresson","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","50","https://extranet.caproga.fr/media/image/NUM_50/Montcresson.jpg","/css/theme/images/carto/site_ouvert.png","Montcresson","0238942848","0238900160","C.A.PRO.GA. La Meunière","","10","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.7360022","47.848736","","","45290","Les Pagnolles","","NOGENT-SUR-VERNISSON","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","48","https://extranet.caproga.fr/media/image/NUM_48/Nogent.jpg","/css/theme/images/carto/site_ouvert.png","Nogent sur Vernisson","0238971921","0238976126","C.A.PRO.GA. La Meunière","","32","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.535131","47.903984","","","45260","Les Gravelines","","NOYERS","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","40","https://extranet.caproga.fr/media/image/NUM_40/Noyers.jpg","/css/theme/images/carto/site_ouvert.png","Noyers","0238940559","0238948678","C.A.PRO.GA. La Meunière","","30","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.5907006","47.641464","","","45500","Route d'Autry le Châtel","","POILLY-LEZ-GIEN","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","59","https://extranet.caproga.fr/media/image/NUM_59/Poilly.jpg","/css/theme/images/carto/site_ouvert.png","Poilly lez Gien","0238050602","0238050601","C.A.PRO.GA. La Meunière","","42","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.6765132","48.09138","","","45490","Les Hauts du Chesnoy","","PREFONTAINES","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","69","https://extranet.caproga.fr/media/image/NUM_69/Prefontaines.jpg","/css/theme/images/carto/site_ouvert.png","Préfontaines","","0238958394","C.A.PRO.GA. La Meunière","","17","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.8537495","47.722694","","","89220","Le Rondeau","","ROGNY-LES-SEPT-ECLUSES","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","42","https://extranet.caproga.fr/media/image/NUM_42/Rogny.jpg","/css/theme/images/carto/site_ouvert.png","Rogny","0386745669","0386745210","C.A.PRO.GA. La Meunière","","39","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.9419498","47.927372","","","45220","Zone Activite ru Charlot","","CHATEAU-RENARD","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","60","https://extranet.caproga.fr/media/image/NUM_60/Chateau-Renard-DAVID.jpg","/css/theme/images/carto/site_ouvert.png","DAVID - Château-Renard","0238285455","0238952039","S.A.S. DAVID","","50","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"3.117342","47.844536","","","89120","La Boisselle","","SAINT-MARTIN-SUR-OUANNE","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","47","https://extranet.caproga.fr/media/image/NUM_47/Saint-Martin.jpg","/css/theme/images/carto/site_ouvert.png","Saint Martin sur Ouanne","","0386916639","C.A.PRO.GA. La Meunière","","9","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"3.0045455","47.716568","","","89220","Les Burineries","","SAINT-PRIVE","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","63","https://extranet.caproga.fr/media/image/NUM_63/Saint-Prive.jpg","/css/theme/images/carto/site_ouvert.png","Saint Privé","0386748749","0386748405","C.A.PRO.GA. La Meunière","","41","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.754298","47.971375","","","45200","Route de la Coopérative","","AMILLY","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","70","https://extranet.caproga.fr/media/image/NUM_70/Site_St-Firmin.jpg","/css/theme/images/carto/site_ouvert.png","Saint Firmin des Vignes","0238894454","0238931580","C.A.PRO.GA. La Meunière","","4","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo + Moulin","3","Feature"
"3.1207356","48.092648","","","89150","26 Rte Savigny","","VERNOY","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","55","https://extranet.caproga.fr/media/image/NUM_55/Vernoy.jpg","/css/theme/images/carto/site_ouvert.png","Vernoy","0386863164","0386863164","C.A.PRO.GA. La Meunière","","26","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.6007154","48.106987","","","45490","34 Rue Chateau Landon","","SCEAUX-DU-GATINAIS","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","64","https://extranet.caproga.fr/media/image/NUM_64/Sceaux.jpg","/css/theme/images/carto/site_ouvert.png","Sceaux du Gâtinais","","0238874146","C.A.PRO.GA. La Meunière","","16","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.7045295","47.903366","","","45700","Le Bourg","","SAINT-HILAIRE-SUR-PUISEAUX","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","52","https://extranet.caproga.fr/media/image/NUM_52/Saint-Hilaire.jpg","/css/theme/images/carto/site_ouvert.png","Saint Hilaire sur Puiseaux","","0238949068","C.A.PRO.GA. La Meunière","","33","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.9414015","47.926224","","","45220","Zone d'Activites de Pense-Folie","","Chateau-Renard","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","68","https://extranet.caproga.fr/media/image/NUM_68/Chateau-Renard-CAPROGA.jpg","/css/theme/images/carto/site_ouvert.png","Château-Renard","0238953339","0238952127","C.A.PRO.GA. La Meunière","","7","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.961962","48.02759","","","45320","Les Haricots","","CHANTECOQ","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","66","https://extranet.caproga.fr/media/image/NUM_66/Chantecoq.JPG","/css/theme/images/carto/site_ouvert.png","Chantecoq","","0238942432","C.A.PRO.GA. La Meunière","","25","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"3.185694","47.99374","","","89116","Le Champ des Roches","","Cudot","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","41","https://extranet.caproga.fr/media/image/NUM_41/Cudot.jpg","/css/theme/images/carto/site_ouvert.png","Cudot","0386639401","0386639401","C.A.PRO.GA. La Meunière","","27","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.845093","47.81672","","","45230","Port de la Lancière","","Chatillon Coligny","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","43","https://extranet.caproga.fr/media/image/NUM_43/Chatillon.jpg","/css/theme/images/carto/site_ouvert.png","Châtillon Coligny","0238960534","0238925545","C.A.PRO.GA. La Meunière","","37","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.727824","48.004173","","","45120","Les Docks","","Chalette Sur Loing","","","","23/07/2019","","","13:30","17:00","08:00","12:00","JPG","54","https://extranet.caproga.fr/media/image/NUM_54/Chalette.JPG","/css/theme/images/carto/site_ouvert.png","Châlette sur Loing","0238876423","0238876429","C.A.PRO.GA. La Meunière","","2","De 13:30 à 17:00","De 08:00 à 12:00","1","1","Silo","2","Feature"
"2.8574212","48.11737","","","45210","","1","Chevannes","Route de Griselles","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","65","https://extranet.caproga.fr/media/image/NUM_65/Chevannes.jpg","/css/theme/images/carto/site_ouvert.png","Chevannes","0238909196","0238909716","C.A.PRO.GA. La Meunière","","20","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"3.0566833","47.941525","","","45220","Rue de la Gare","","Douchy","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","45","https://extranet.caproga.fr/media/image/NUM_45/Douchy.jpg","/css/theme/images/carto/site_ouvert.png","Douchy","0238870282","0238871179","C.A.PRO.GA. La Meunière","","5","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.5449436","48.001583","","","45270","380 rue de Chantereine","","Ladon","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","46","https://extranet.caproga.fr/media/image/NUM_46/Ladon.jpg","/css/theme/images/carto/site_ouvert.png","Ladon","0238956947","0238955149","C.A.PRO.GA. La Meunière","","12","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.9463975","47.592464","","Chemin Rural N°69","89170","Le Grand Champ du Haut","","LAVAU","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","49","https://extranet.caproga.fr/media/image/NUM_49/Lavau.jpg","/css/theme/images/carto/site_ouvert.png","Lavau","0386440650","0386440610","C.A.PRO.GA. La Meunière","","43","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.9530294","47.97789","","","45220","Silo de Chicamour","","Chuelles","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","53","https://extranet.caproga.fr/media/image/NUM_53/Chuelles.jpg","/css/theme/images/carto/site_ouvert.png","Chuelles","0238940532","0238942351","C.A.PRO.GA. La Meunière","","8","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.552338","48.066784","","","45490","17 Rue de la Gare","","Corbeilles En Gatinais","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","61","https://extranet.caproga.fr/media/image/NUM_61/Corbeilles.jpg","/css/theme/images/carto/site_ouvert.png","Corbeilles en Gâtinais","0238964372","0238922069","C.A.PRO.GA. La Meunière","","15","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"3.0598497","48.04088","","","45320","Rue de la Gare","","Courtenay","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","56","https://extranet.caproga.fr/media/image/NUM_56/Courtenay.jpg","/css/theme/images/carto/site_ouvert.png","Courtenay","0238970615","0238974049","C.A.PRO.GA. La Meunière","","24","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.4526482","48.01948","","","45270","76 Route du Silo","","Freville En Gatinais","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","62","https://extranet.caproga.fr/media/image/NUM_62/Freville.jpg","/css/theme/images/carto/site_ouvert.png","Fréville en Gâtinais","0238901678","0238901862","C.A.PRO.GA. La Meunière","","13","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.6362185","47.696358","","","45500","Zone de la Bosserie","","Gien","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","44","https://extranet.caproga.fr/media/image/NUM_44/Gien.jpg","/css/theme/images/carto/site_ouvert.png","Gien","0238671191","0238671721","C.A.PRO.GA. La Meunière","","5339","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.641173","48.042606","","","45490","La Grenouillère","","Gondreville La Franche","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","57","https://extranet.caproga.fr/media/image/NUM_57/Site_Gondreville.jpg","/css/theme/images/carto/site_ouvert.png","Gondreville La Franche","0238878120","0238878103","C.A.PRO.GA. La Meunière","","18","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo + Station de semences","4","Feature"
"2.9043524","48.082165","","","45210","La Chaume","","La Selle Sur Le Bied","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","38","https://extranet.caproga.fr/media/image/NUM_38/La_Selle.jpg","/css/theme/images/carto/site_ouvert.png","La Selle sur le Bied","0238873041","0238873202","C.A.PRO.GA. La Meunière","","22","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.742722","48.00379","","","45200","190 Bis Rue Paul Doumer","","MONTARGIS","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","58","https://extranet.caproga.fr/media/image/NUM_58/Montargis.jpg","/css/theme/images/carto/site_ouvert.png","Montargis","0238876499","0238876400","C.A.PRO.GA. La Meunière","","11","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Siège","1","Feature"
"2.9966402","47.800022","","","45230","6 Route de Marchais Béton","","Le Charme","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","39","https://extranet.caproga.fr/media/image/NUM_39/Le_Charme.jpg","/css/theme/images/carto/site_ouvert.png","Le Charme","0238972140","0238971849","C.A.PRO.GA. La Meunière","","38","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
